region,Округ,Год,Наименование,№ строки,projects," Численность участников форумов соответствующего уровня, чел", Объeм рег. финансирования (в том числе посредством финансирования транспортных и, Объeм мун. финансирования (в том числе посредством финансирования транспортных и
Липецкая область,ЦФО,2021,Всего,59, 16 , 6 347 , 5 188 955 , 607 898 
Магаданская область,ДФО,2021,Всероссийские молодeжные форумы,55, - , 22 , 734 086 , - 
Магаданская область,ДФО,2021,Окружные молодeжные форумы,56, - , - , - , - 
Магаданская область,ДФО,2021,Региональные и межрегиональные молодeжные форумы,57, 1 , 200 , 875 224 , - 
Магаданская область,ДФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 1 , 120 , - , 525 000 
Магаданская область,ДФО,2021,Всего,59, 2 , 342 , 1 609 310 , 525 000 
Республика Марий Эл,ПФО,2021,Всероссийские молодeжные форумы,55,, - , - , - 
Республика Марий Эл,ПФО,2021,Окружные молодeжные форумы,56, - , - , - , - 
Республика Марий Эл,ПФО,2021,Региональные и межрегиональные молодeжные форумы,57, 2 , 420 , 80 000 , 120 000 
Республика Марий Эл,ПФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 13 , 1 178 , 145 200 , 90 175 
Республика Марий Эл,ПФО,2021,Всего,59, 15 , 1 598 , 225 200 , 210 175 
Республика Мордовия,ПФО,2021,Всероссийские молодeжные форумы,55, 1 , 150 , 250 000 , - 
Республика Мордовия,ПФО,2021,Окружные молодeжные форумы,56, 1 , 250 , 1 998 060 , - 
Республика Мордовия,ПФО,2021,Региональные и межрегиональные молодeжные форумы,57, 9 , 5 780 , 5 790 000 , - 
Республика Мордовия,ПФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 3 , 200 , - , 272 200 
Республика Мордовия,ПФО,2021,Всего,59, 14 , 6 380 , 8 038 060 , 272 200 
Москва,ЦФО,2021,Всероссийские молодeжные форумы,55, - , - , 15 179 531 , - 
Москва,ЦФО,2021,Окружные молодeжные форумы,56, - , - , - , - 
Москва,ЦФО,2021,Региональные и межрегиональные молодeжные форумы,57, - , 2 280 , 12 684 288 , - 
Москва,ЦФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, - , - , - , - 
Москва,ЦФО,2021,Всего,59, - , 2 280 , 27 863 819 , - 
Московская область,ЦФО,2021,Всероссийские молодeжные форумы,55, - , - , - ,
